position,player_name,nfl_team
RB,Leâ€™Veon Bell,PIT
RB,Todd Gurley,LAR
RB,David Johnson,ARI
WR,Antonio Brown,PIT
RB,Saquon Barkley,NYG
RB,Ezekiel Elliott,DAL
RB,Alvin Kamara,NO
WR,Julio Jones,ATL
RB,Leonard Fournette,JAC
WR,Odell Beckham Jr.,NYG
WR,DeAndre Hopkins,HOU
RB,Dalvin Cook,MIN
RB,Melvin Gordon,LAC
RB,Joe Mixon,CIN
RB,Kareem Hunt,KC
WR,A.J. Green,CIN
WR,Michael Thomas,NO
WR,Keenan Allen,LAC
WR,Davante Adams,GB
RB,Devonta Freeman,ATL
RB,Jordan Howard,CHI
TE,Rob Gronkowski,NE
RB,Christian McCaffrey,CAR
RB,Derrick Henry,TEN
RB,Lamar Miller,HOU
WR,Tyreek Hill,KC
WR,Mike Evans,TB
WR,Stefon Diggs,MIN
WR,Adam Thielen,MIN
RB,Kenyan Drake,MIA
RB,Jerick McKinnon,SF
WR,Larry Fitzgerald,ARI
QB,Aaron Rodgers,GB
QB,Tom Brady,NE
WR,Doug Baldwin,SEA
WR,Amari Cooper,OAK
WR,T.Y Hilton,IND
RB,Dion Lewis,TEN
RB,Jay Ajayi,PHI
RB,LeSean McCoy,BUF
WR,Golden Tate,DET
WR,Demaryius Thomas,DEN
QB,Drew Brees,NO
WR,JuJu Smith-Schuster,PIT
WR,Chris Hogan,NE
WR,Brandin Cooks,LAR
WR,Josh Gordon,CLE
TE,Travis Kelce,KC
TE,Zach Ertz,PHI
QB,Russell Wilson,SEA
QB,Deshaun Watson,HOU
WR,Jarvis Landry,CLE
WR,Allen Robinson,CHI
WR,Marvin Jones,DET
RB,Jamaal Williams,GB
RB,Marshawn Lynch,OAK
RB,Rex Burkhead,NE
WR,Corey Davis,TEN
RB,Tevin Coleman,ATL
RB,Mark Ingram,NO
RB,Isaiah Crowell,NYJ
RB,Alex Collins,BAL
WR,Sammy Watkins,KC
WR,Sterling Shepard,NYG
WR,Jamison Crowder,WSH
WR,Devin Funchess,CAR
TE,Jimmy Graham,GB
TE,Greg Olsen,CAR
WR,Nelson Algholor,PHI
QB,Matthew Stafford,DET
QB,Andrew Luck,IND
RB,Tarik Cohen,CHI
RB,Carlos Hyde,CLE
RB,Kerryon Johnson,DET
RB,LeGarrette Blount,DET
WR,Alshon Jeffery,PHI
WR,Julian Edelman,NE
TE,Evan Engram,NYG
TE,Delanie Walker,TEN
RB,Sony Michel,NE
RB,Chris Carson,SEA
RB,Rashaad Penny,SEA
RB,Royce Freeman,DEN
RB,Latavius Murray,MIN
RB,James White,NE
RB,Peyton Barber,TB
RB,Duke Johnson,CLE
RB,Theo Riddick,DET
WR,Emmanuel Sanders,DEN
WR,Michael Crabtree,BAL
WR,Kelvin Benjamin,BUF
WR,Pierre Garcon,SF
WR,Marquise Goodwin,SF
WR,Cooper Kupp,LAR
WR,Robert Woods,LAR
WR,Robby Anderson,NYJ
TE,Jordan Reed,WSH
TE,Kyle Rudolph,MIN
WR,Kenny Stills,MIA
WR,DJ Moore,CAR
WR,Kenny Golladay,DET
RB,Jeremy Hill,NE
RB,Ty Montgomery,GB
RB,Aaron Jones,GB
RB,C.J. Anderson,CAR
WR,Jordy Nelson,OAK
WR,John Brown,BAL
QB,Matt Ryan,ATL
QB,Kirk Cousins,MIN
QB,Ben Roethlisberger,PIT
QB,Jimmy Garoppolo,SF
QB,Alex Smith,WSH
RB,Ronald Jones II,TB
RB,Nick Chubb,CLE
WR,Calvin Ridley,ATL
WR,Ryan Grant,IND
WR,Ted Ginn,NO
WR,Cameron Meredith,NO
WR,Allen Hurns,DAL